Method,True,Predicted,Count
"SEM Condensation engine, corrected (size-2+3 magmas; unresolvable -> incomparable)",incomparable,weaker,38
"SEM Condensation engine, corrected (size-2+3 magmas; unresolvable -> incomparable)",incomparable,incomparable,2568
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",equivalent,equivalent,92
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",equivalent,stronger,0
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",equivalent,weaker,0
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",equivalent,incomparable,588
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",stronger,equivalent,4
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",stronger,stronger,303
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",stronger,weaker,0
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",stronger,incomparable,1422
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",weaker,equivalent,4
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",weaker,stronger,0
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",weaker,weaker,303
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",weaker,incomparable,1422
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",incomparable,equivalent,1504
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",incomparable,stronger,38
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",incomparable,weaker,38
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",incomparable,incomparable,1068
