Rank,Family,Method,Class,Support,TP,FP,FN,TN,Precision,Recall,Specificity,F1,Accuracy,Precision mean over splits,Precision std over splits,Recall mean over splits,Recall std over splits,Specificity mean over splits,Specificity std over splits,F1 mean over splits,F1 std over splits,Accuracy mean over splits,Accuracy std over splits
4,structural,STRUCT Weisfeiler-Lehman subtree features (h=3),equivalent,680,483,209,197,5897,0.6979768786127167,0.7102941176470589,0.96577137242057,0.7040816326530612,0.9401709401709402,0.6900508050595048,0.054161172837379284,0.7105619003500966,0.07483340058457194,0.9657185369771024,0.005717573748355374,0.6963320219419562,0.03926333639178625,0.9401784575404193,0.007239260372242416
4,structural,STRUCT Weisfeiler-Lehman subtree features (h=3),stronger,1729,1408,334,321,4723,0.8082663605051664,0.8143435511856565,0.9339529365236307,0.8112935753385191,0.9034777483053346,0.8095682618949072,0.03655715762030422,0.8141551523726829,0.037402017572200075,0.9341446211860991,0.015088382341707882,0.8105917709551592,0.018575685082163465,0.9032732245011287,0.009370110304040525
4,structural,STRUCT Weisfeiler-Lehman subtree features (h=3),weaker,1729,1398,336,331,4721,0.8062283737024222,0.8085598611914402,0.9335574451255685,0.8073924343055154,0.9017094017094017,0.8069698409392648,0.035999950458365786,0.8081864749972467,0.03469898730128121,0.9336697442151227,0.013943996528955031,0.8066501249209391,0.022323642351819502,0.9014296382115707,0.011623675264264654
4,structural,STRUCT Weisfeiler-Lehman subtree features (h=3),incomparable,2648,2174,444,474,3694,0.8304048892284186,0.8209969788519638,0.8927017883035283,0.825674135966578,0.8647214854111406,0.8269149740629776,0.05315592069018643,0.8189100296201909,0.04134753372917789,0.8916735023827937,0.03180118920526323,0.8214940279701197,0.03357689646248495,0.8642117489545302,0.017882514682168543
5,natural-latents,"NL Representation-specific, RAW | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",equivalent,680,462,182,218,5924,0.717391304347826,0.6794117647058824,0.9701932525384868,0.6978851963746224,0.9410551134689066,0.7140486004882385,0.07744669276875821,0.6858136784415605,0.07162024803228297,0.970023452782705,0.009549786565408567,0.6935598076655106,0.029662972452729492,0.9409429812747077,0.009600475856208976
5,natural-latents,"NL Representation-specific, RAW | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",stronger,1729,1401,321,328,4736,0.813588850174216,0.810294968189705,0.9365236306110342,0.8119385685308607,0.9043619216033009,0.8129270002052451,0.03124353108646114,0.8102875653647891,0.02015257481736253,0.936378573282538,0.010425814353999247,0.8111649561861721,0.018310604579279424,0.9040032553408344,0.00964140036668596
5,natural-latents,"NL Representation-specific, RAW | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",weaker,1729,1407,308,322,4749,0.8204081632653061,0.8137651821862348,0.9390943246984378,0.8170731707317074,0.9071618037135278,0.8200177137644197,0.030458784455392383,0.8140703115259942,0.016173554053935373,0.9389688455452891,0.010488604370327795,0.8165912442046943,0.015396874912160267,0.9069227304300647,0.008454641078534358
5,natural-latents,"NL Representation-specific, RAW | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",incomparable,2648,2225,480,423,3658,0.822550831792976,0.8402567975830816,0.8840019333011117,0.8313095460489446,0.8669319186560566,0.8184515811121041,0.03943622109752481,0.8402511047105868,0.04103768540726843,0.8838569271568103,0.009596232992175774,0.8281752514735297,0.028845291263164142,0.8663757526144611,0.01744204606055294
6,natural-latents,"NL Representation-specific, RESAMPLED | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",equivalent,680,440,218,240,5888,0.668693009118541,0.6470588235294118,0.9642974123812643,0.6576980568011959,0.9325081049218981,0.6599830393875845,0.05642154434627118,0.6508694512812719,0.08052842209798233,0.9641540360014165,0.0049866301255002445,0.651897188082482,0.04791352858954957,0.932461921393162,0.010807588030740129
6,natural-latents,"NL Representation-specific, RESAMPLED | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",stronger,1729,1378,351,351,4706,0.7969924812030075,0.7969924812030075,0.9305912596401028,0.7969924812030075,0.896551724137931,0.7967376167729662,0.038649704957340755,0.797506496585669,0.019892620367245598,0.9306763547693778,0.012733871977144273,0.7963455892175443,0.01749851936486243,0.8963489655643986,0.007729939940069042
6,natural-latents,"NL Representation-specific, RESAMPLED | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",weaker,1729,1379,366,350,4691,0.7902578796561605,0.7975708502024291,0.9276250741546371,0.7938975244674727,0.8944886531093428,0.7903086493521095,0.03614010353109099,0.7983627998983064,0.0157158620184807,0.9278053419524325,0.011821775621828087,0.7935718293850671,0.013183534088948397,0.8944212292174726,0.005675799981912502
6,natural-latents,"NL Representation-specific, RESAMPLED | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",incomparable,2648,2155,499,493,3639,0.8119819140919367,0.8138217522658611,0.8794103431609473,0.8129007921539042,0.8538166814028882,0.8086944042168177,0.04498700231461528,0.8166089522143025,0.04342126624939333,0.8798436865065258,0.01309254240910357,0.8107900799402639,0.023020894800983092,0.853421323884066,0.01566890865868419
7,semantic,"SEM Condensation engine, corrected (size-2+3 magmas; unresolvable -> incomparable)",equivalent,680,92,12,588,6094,0.8846153846153846,0.13529411764705881,0.9980347199475925,0.23469387755102042,0.9115826702033598,0.8861138861138862,0.0914028592559172,0.15106988239927874,0.06868929653315221,0.9980297290418443,0.0015843627379491568,0.2515346894678202,0.10055824955881373,0.9117252395419397,0.026460976521293006
7,semantic,"SEM Condensation engine, corrected (size-2+3 magmas; unresolvable -> incomparable)",stronger,1729,303,38,1426,5019,0.8885630498533724,0.17524580682475419,0.9924856634368202,0.2927536231884058,0.784261715296198,0.8875271854582198,0.027978606141363733,0.17621897867315578,0.03326538145313882,0.9925495212499366,0.0015199387863681587,0.29273672672931794,0.046696192397197606,0.7842159095007936,0.018775294342077715
7,semantic,"SEM Condensation engine, corrected (size-2+3 magmas; unresolvable -> incomparable)",weaker,1729,303,38,1426,5019,0.8885630498533724,0.17524580682475419,0.9924856634368202,0.2927536231884058,0.784261715296198,0.8875271854582198,0.027978606141363733,0.17621897867315578,0.03326538145313882,0.9925495212499366,0.0015199387863681587,0.29273672672931794,0.046696192397197606,0.7842159095007936,0.018775294342077715
7,semantic,"SEM Condensation engine, corrected (size-2+3 magmas; unresolvable -> incomparable)",incomparable,2648,2568,3432,80,706,0.428,0.9697885196374623,0.1706138231029483,0.5938945420906568,0.4824638962569997,0.4287458255905451,0.06505696808713946,0.9699198719593701,0.004327666499821822,0.1733780131203254,0.038400257229846996,0.5916108858016542,0.06515516004268103,0.4825415752244506,0.06269905839578585
8,semantic,"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",equivalent,680,92,1512,588,4594,0.057356608478802994,0.13529411764705881,0.7523747133966591,0.08056042031523641,0.6905393457117595,0.05682487888287262,0.009667992219512362,0.15106988239927874,0.06868929653315221,0.752989578340024,0.03011056686605644,0.08016821405989796,0.01939577247878837,0.6905353326829451,0.008495244805960056
8,semantic,"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",stronger,1729,303,38,1426,5019,0.8885630498533724,0.17524580682475419,0.9924856634368202,0.2927536231884058,0.784261715296198,0.8875271854582198,0.027978606141363733,0.17621897867315578,0.03326538145313882,0.9925495212499366,0.0015199387863681587,0.29273672672931794,0.046696192397197606,0.7842159095007936,0.018775294342077715
8,semantic,"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",weaker,1729,303,38,1426,5019,0.8885630498533724,0.17524580682475419,0.9924856634368202,0.2927536231884058,0.784261715296198,0.8875271854582198,0.027978606141363733,0.17621897867315578,0.03326538145313882,0.9925495212499366,0.0015199387863681587,0.29273672672931794,0.046696192397197606,0.7842159095007936,0.018775294342077715
8,semantic,"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",incomparable,2648,1068,3432,1580,706,0.23733333333333334,0.4033232628398791,0.1706138231029483,0.29882484611080024,0.26142057176539935,0.2397158243667911,0.046667288692024154,0.4022686296730932,0.024503482290836882,0.1733780131203254,0.038400257229846996,0.2976387758693818,0.04110739549515713,0.2613516683654559,0.031042688062440083
