Method,Family,Split seed,Test pairs,Accuracy,Balanced accuracy,Macro precision,Macro recall,Macro specificity,Macro F1,Weighted F1,Cohen's kappa,MCC
"NL Representation-specific, RAW | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",natural-latents,123,1434,0.8270571827057183,0.7975829352853194,0.8309159476741567,0.7975829352853194,0.9384164279008114,0.809839651421788,0.8252249245487364,0.7567193727262902,0.7575409520945496
"NL Representation-specific, RAW | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",natural-latents,99,1336,0.8001497005988024,0.7873585858771911,0.7915389198073777,0.7873585858771911,0.9320791273975697,0.7880276685496391,0.800685503139183,0.7265384473855288,0.7277905205901983
"NL Representation-specific, RAW | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",natural-latents,256,1392,0.8211206896551724,0.8153789581151556,0.7807750980917221,0.8153789581151556,0.9359041330136111,0.7949908897290855,0.8224821990230496,0.7386000265466437,0.7389736350942717
"NL Representation-specific, RESAMPLED | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",natural-latents,42,1280,0.7640625,0.747681365765382,0.7398585295555171,0.747681365765382,0.9170443583948847,0.7427145310333155,0.7638566842899607,0.665584418393203,0.6666418942611172
"NL Representation-specific, RESAMPLED | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",natural-latents,7,1344,0.7857142857142857,0.7357192519029611,0.7455415969497403,0.7357192519029611,0.9228289172125681,0.7403594379200463,0.7847642531598396,0.6893475666474318,0.6894676162799951
"NL Representation-specific, RESAMPLED | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",natural-latents,123,1434,0.7859135285913529,0.7582664750522115,0.7762339208375927,0.7582664750522115,0.9249387524246058,0.7651198535325453,0.7843593560729571,0.6999885512101643,0.7004086897168752
"NL Representation-specific, RESAMPLED | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",natural-latents,99,1336,0.7941616766467066,0.7814348644677714,0.7876107249811463,0.7814348644677714,0.930073773728205,0.7818975097094687,0.7948145068848032,0.7183996762439391,0.7207349621180783
"NL Representation-specific, RESAMPLED | Direct latents [z(A),z(B),z(A)-z(B)] (19 views)",natural-latents,256,1392,0.8117816091954023,0.8060826677861112,0.770409864837851,0.8060826677861112,0.933213472276927,0.7856645260863206,0.8132680529677128,0.7261003181317047,0.726869290087081
"SEM Condensation engine, corrected (size-2+3 magmas; unresolvable -> incomparable)",semantic,42,1280,0.5046875,0.37762549381401844,0.8010225487499593,0.37762549381401844,0.7901956326020653,0.3780341786740056,0.42630534959799443,0.1867102815727023,0.30021876051864843
"SEM Condensation engine, corrected (size-2+3 magmas; unresolvable -> incomparable)",semantic,7,1344,0.5238095238095238,0.38374904972237456,0.748031842371465,0.38374904972237456,0.7967431966558547,0.38847908891996286,0.45468302176688574,0.21377071237404388,0.3172641053135087
"SEM Condensation engine, corrected (size-2+3 magmas; unresolvable -> incomparable)",semantic,123,1434,0.44490934449093444,0.3291663507555445,0.7694815123714207,0.3291663507555445,0.7763112284211383,0.29634159698362106,0.34976148637688137,0.12050433713291553,0.22115642827686702
"SEM Condensation engine, corrected (size-2+3 magmas; unresolvable -> incomparable)",semantic,99,1336,0.3787425149700599,0.3367889462138222,0.7474025974025973,0.3367889462138222,0.7816683083337442,0.28272830626041673,0.3072798980548775,0.1281731954612927,0.23792486290777362
"SEM Condensation engine, corrected (size-2+3 magmas; unresolvable -> incomparable)",semantic,256,1392,0.5545977011494253,0.4144547991254408,0.7964541023806466,0.4144547991254408,0.8007151148147513,0.44019061507213164,0.49194716869990607,0.23845828038966543,0.337658710307301
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",semantic,42,1280,0.2671875,0.23368609987462446,0.538627530577419,0.23368609987462446,0.7245652353654504,0.24646655078520302,0.27840675688450756,-0.0708068152629926,-0.0815307698671492
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",semantic,7,1344,0.28125,0.23924550362308378,0.5262836301629406,0.23924550362308378,0.7306978157806521,0.2660186033918548,0.3074131011506113,-0.04530303469464658,-0.051132341487915414
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",semantic,123,1434,0.24686192468619247,0.1996043069599241,0.4915737452651515,0.1996043069599241,0.7196924086444239,0.2076560395150427,0.2389871191164937,-0.10435589935352474,-0.12622200235574607
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",semantic,99,1336,0.20808383233532934,0.1891205524314388,0.5048839367021185,0.1891205524314388,0.7326149520514723,0.20073596990207015,0.22362487800935182,-0.0706295825001515,-0.09172773107464606
"SEM Condensation engine, as published (size-2+3 magmas; unresolvable -> incomparable)",semantic,256,1392,0.2974137931034483,0.2705641238842832,0.528125,0.2705641238842832,0.7317628806082799,0.28322339064072394,0.3250252039819216,-0.029548424568026643,-0.03295075374308808
